namo,'s,speech,1
uae,&,more,1
modi,all,my,1
the,dna,of,1
the,day,token_url,2
remote,controlled,by,1
sonia,n,pappu,1
4,arun,jaitley,1
's,speech,in,1
spineless,as,a,2
more,a,token_url,2
chant,at,abu,1
modi,is,yet,2
mosque,it,is,2
abhiyan,'',modi,1
100karat,gold,dinner,1
the,emperor,,,1
comes,to,power,5
token_start,clearly,designed,2
token_url,token_handle,waiting,1
defensetoken_handle,token_handle,token_handle,1
iftar,paies..thats,enough,1
on,streets,unlike,1
roy`s,releas,rep,8
rehabilitate,children,begging,1
token_handle,has,to,1
if,i,was,1
situation..,if,like,1
will,cause,heaburn,1
token_handle,token_handle,rofl,1
india,3rd,largest,2
world,badminton,championships,1
sonia,gandhi,&,1
,,temple,uae,1
is,not,nation,1
modi,is,not,1
token_url,dear,token_handle,1
investment,token_url,token_hash,1
lutyens,media,when,2
temple,was,already,1
dna,of,some,1
if,modi,comes,5
token_start,says,he,2
today,there,is,1
yesterday,i,have,1
would,be,really,1
modi,gave,solemn,1
1,trillion,dollars,2
narendra,modi,has,4
in,gujarat,,,1
zayed,mosque,in,1
understanding,w,token_handle,1
bad,food,&,2
growth,token_hash,token_handle,1
releas,repo,token_url,1
iz,zimbly,zuperb,1
token_hash,under,modi,1
to,restore,indias,1
token_url,token_handle,writes,1
people,cheering,token_hash,2
to,say,``,1
is,asking,``,1
token_handle,modi,to,1
as,a,'conciliatory,1
check,the,dna,1
thats,y,i,2
best,the,pm,1
aka,madison,sq,12
2,minutes,flat,2
jan,bhagidari,',1
woos,uae,with,1
just,showing,off,1
must,wear,skull,1
atmosphere,token_handle,token_hash,1
token_url,token_handle,it,2
all,my,ungles,1
desperation,which,modi,1
paicipation,in,governance,1
of,token_hash,shattered,1
token_hash,token_handle,token_handle,1
,,then,take,2
token_hash,token_handle,jame,1
25,country,this,1
token_hash,lalit,modi,1
dubai,in,34yrs,2
some,understanding,w,1
premier,league,token_url,1
power,token_url,open,1
gold,dinner,for,1
modi,can,do,1
token_handle,token_handle,aap,1
has,gone,to,1
pride,due,to,1
travelled,to,25,1
are,escalating,the,1
to,know,that,5
in,2,minutes,2
a,strong,lobby,1
mosque,visit,as,1
cross,border,firing,1
please,bring,burnol,1
token_start,token_handle,by,1
token_hash,meets,token_hash,1
yet,again,goes,2
info,might,help,1
lakh,houses,in,1
not,going,to,1
is,evident,that,2
namo,in,token_hash,1
to,sheikh,zayed,1
token_handle,crowd,chanting,12
gujarat,,,modi,1
congress,hits,back,1
token_start,token_url,modi,1
after,dubai,grand,2
it,was,``,1
keajari,govt,come,1
already,donated,in,1
uae,,,congress,1
i,have,been,1
says,modi,ji,1
token_handle,india,for,1
media,said,``,1
it,as,india,2
can,understand,your,1
and,feeling,ashamed,1
let,us,show,2
token_hash,token_url,good,1
in,dubai,sir,1
league,token_url,token_hash,1
crowd,chanting,token_hash,1
food,&,not,2
the,last,15,3
pahunchao,abhiyan,'',1
token_hash,blames,ed,1
token_handle,in,gujarat,1
investigation,of,sonia,1
uae,&,token_handle,1
of,dilli,and,1
watc,modi,modi,1
in,15,month,4
were,built,till,1
govt,to,rehabilitate,1
done,what,token_hash,1
renowned,person,like,1
not,the,modi,2
token_url,token_handle,a,1
pay,do,it,1
token_hash,token_handle,modi,1
his,pay,colleagues,1
modi,on,mission,1
token_handle,a,renowned,1
roy,get,out,1
pm,modi,token_hash,1
cl,newly,adde,1
trillion,dollars,pm,1
medal,token_url,token_handle,1
modi,for,targeting,1
cant,distract,d,12
modi,has,immersed,1
narendra,modi,what,1
accord,is,an,1
is,refreshing,to,5
suggestions,2,nitish,1
regarding,namo,,,1
in,india,even,1
htt,token_handle,in,1
feeling,ashamed,that,1
viewing,his,mosque,1
tweet,of,the,2
it,,,repos,1
told,who,knows,1
use,and,keep,1
token_start,token_url,the,1
stock,for,today,1
its,mouth,after,1
protectors,on,token_hash,1
grand,mosque,it,2
only,6000,houses,1
rs.40/-,per,dollar,5
gone,to,a,1
case,with,token_handle,1
event,in,dubai,1
whose,token_url,token_hash,1
asking,``,why,1
clearly,designed,controversy,2
not,do,while,1
way,to,go,2
timing,of,namo,1
kejri,&,aaptards,1
trade,paner,of,2
cheering,token_hash,while,2
narendra,modi,will,1
slams,modi,for,1
in,dubai,can,1
in,uae,media,1
probe,in,national,1
it,is,refreshing,5
ji,is,remote,1
to,congis,dynasty,1
token_hash,modi,has,1
pupp,token_handle,dear,1
looks,like,,,1
propaganda,h,token_handle,1
lion,will,be,1
token_hash,modi,visits,1
asking,us,to,1
that,caused,token_handle,1
national,herald,case,2
ji,token_handle,thats,1
,,modi,has,1
will,be,roaring,1
modi,token_handle,in,1
govt,asking,us,1
will,overcome,frustration,1
successful,visit,to,2
token_hash,the,gates,1
country,this,is,1
wanted,keajari,govt,1
modi,on,foreign,1
modi,ji,secratly,1
herald,case,token_url,1
to,hear,token_hash,1
modi,,,the,1
token_url,token_handle,delhi,1
n't,leave,nh,1
token_start,token_url,token_hash,1
i,said,dont,2
token_handle,after,dubai,2
craving,to,hear,1
token_hash,token_url,modi,2
offers,$,1-trillion,1
will,finally,go,1
token_handle,wat,is,1
has,visited,25,4
while,waiting,in,2
with,$,1,1
overcome,frustration,by,1
,,by,washington,1
sahara,grou,may,9
we,can,understand,1
he,had,bluntly,1
pm,modi,on,2
mo,token_url,token_handle,1
on,foreign,trips,1
token_start,way,to,2
what,you,give,1
token_handle,modi,ji,1
``,all,pride,1
in,various,cubby,1
token_url,72k,regn,1
to,meeting,india,1
do,while,in,1
back,what,you,1
always,existed.now,critics,1
token_url,token_hash,lalit,1
past,it,was,1
investment,oppounity,to,3
u,should,remember,1
